packet size: 512bytes
number of packets: 16.0
signal frequency: 100
sample frequency: 200.0
force units: lb, moment units: lb-ft
Counter: 156.0     , Fx: -0.04     ,Fy: 0.02      , Fz: 0.19      , Mx: -0.0424   ,My: -0.0282   ,Mz: 0.037     ,
Counter: 157.0     , Fx: -0.05     ,Fy: -0.05     , Fz: 0.1       , Mx: 0.0       ,My: 0.0       ,Mz: 0.0       ,
Counter: 158.0     , Fx: 0.11      ,Fy: 0.04      , Fz: 0.21      , Mx: -0.0071   ,My: -0.0141   ,Mz: 0.0       ,
Counter: 159.0     , Fx: 0.03      ,Fy: 0.06      , Fz: 0.17      , Mx: 0.0353    ,My: 0.0353    ,Mz: -0.037    ,
Counter: 160.0     , Fx: 0.03      ,Fy: 0.04      , Fz: -0.16     , Mx: 0.0141    ,My: 0.0       ,Mz: 0.0462    ,
Counter: 161.0     , Fx: -0.02     ,Fy: -0.02     , Fz: -0.04     , Mx: -0.0071   ,My: -0.0141   ,Mz: -0.037    ,
Counter: 162.0     , Fx: -0.05     ,Fy: -0.05     , Fz: -0.07     , Mx: 0.0       ,My: 0.0071    ,Mz: -0.0185   ,
Counter: 163.0     , Fx: 0.01      ,Fy: 0.0       , Fz: -0.09     , Mx: -0.0141   ,My: 0.0071    ,Mz: 0.0277    ,
Counter: 164.0     , Fx: 0.0       ,Fy: -0.01     , Fz: 0.48      , Mx: -0.0071   ,My: 0.0       ,Mz: -0.0092   ,
Counter: 165.0     , Fx: 0.02      ,Fy: -0.07     , Fz: -0.13     , Mx: -0.0071   ,My: -0.0071   ,Mz: 0.0277    ,
Counter: 166.0     , Fx: 0.02      ,Fy: -0.05     , Fz: 0.04      , Mx: -0.0141   ,My: -0.0424   ,Mz: 0.0185    ,
Counter: 167.0     , Fx: -0.03     ,Fy: 0.01      , Fz: 0.03      , Mx: 0.0071    ,My: 0.0071    ,Mz: 0.0       ,
Counter: 168.0     , Fx: -0.02     ,Fy: 0.01      , Fz: 0.12      , Mx: 0.0141    ,My: 0.0141    ,Mz: -0.037    ,
Counter: 169.0     , Fx: -0.02     ,Fy: 0.03      , Fz: 0.16      , Mx: 0.0071    ,My: 0.0141    ,Mz: 0.0277    ,
Counter: 170.0     , Fx: 0.04      ,Fy: 0.0       , Fz: 0.07      , Mx: 0.0071    ,My: 0.0141    ,Mz: 0.0092    ,
Counter: 171.0     , Fx: -0.03     ,Fy: 0.0       , Fz: -0.25     , Mx: -0.0141   ,My: -0.0212   ,Mz: -0.0739   ,
Counter: 172.0     , Fx: -0.03     ,Fy: -0.06     , Fz: 0.02      , Mx: -0.0212   ,My: 0.0141    ,Mz: -0.0092   ,
Counter: 173.0     , Fx: -0.03     ,Fy: 0.04      , Fz: 0.07      , Mx: -0.0141   ,My: 0.0       ,Mz: 0.0185    ,
Counter: 174.0     , Fx: 0.05      ,Fy: -0.03     , Fz: 0.23      , Mx: -0.0212   ,My: -0.0071   ,Mz: 0.0277    ,
Counter: 175.0     , Fx: -0.03     ,Fy: -0.01     , Fz: -0.08     , Mx: -0.0424   ,My: -0.0282   ,Mz: -0.0092   ,
Counter: 176.0     , Fx: -0.0      ,Fy: -0.07     , Fz: 0.07      , Mx: 0.0141    ,My: -0.0282   ,Mz: 0.037     ,
Counter: 177.0     , Fx: -0.05     ,Fy: -0.03     , Fz: -0.08     , Mx: 0.0071    ,My: 0.0       ,Mz: -0.0185   ,
Counter: 178.0     , Fx: 0.02      ,Fy: 0.01      , Fz: -0.04     , Mx: 0.0071    ,My: 0.0       ,Mz: -0.037    ,
Counter: 179.0     , Fx: 0.02      ,Fy: 0.02      , Fz: 0.12      , Mx: 0.0       ,My: -0.0141   ,Mz: -0.0647   ,
Counter: 180.0     , Fx: 0.01      ,Fy: -0.0      , Fz: -0.12     , Mx: -0.0141   ,My: 0.0       ,Mz: -0.037    ,
